Crop Name,Recipe Name 1,Link1,Recipe Name 2,Link2,Recipe Name 3,Link 3
Tomato,Tomato Basil Bruschetta,https://www.simplyrecipes.com/recipes/bruschetta_with_tomato_and_basil/,Collection of Fresh Tomato Recipes ,https://www.allrecipes.com/gallery/fresh-tomato-recipes/,Tomato Sauce with Basil,https://www.onceuponachef.com/recipes/tomato-sauce-basil.html
Lettuce,Lemon Parmesan Lettuce Salad ,https://www.themediterraneandish.com/lettuce-salad-recipe/,Simple Lettuce Salad ,https://www.tasteofhome.com/recipes/simple-lettuce-salad/,Sauteed Romaine Lettuce With Garlic and Lemon ,https://marcsrecipes.com/sauteed-romaine-lettuce-with-garlic-and-lemon/
Radish,Garlic Roasted Radishes ,https://therealfooddietitians.com/garlic-roasted-radishes/,Sauteed Radishes ,https://www.allrecipes.com/recipe/232669/sauteed-radishes/,Pickled Radishes,https://bellyfull.net/pickled-radishes/
Green Beans,Simple Skillet Beans ,https://www.healthyseasonalrecipes.com/simple-skillet-green-beans/,5-Ingredient 8-Minute Skillet Green Beans ,https://alexandracooks.com/2022/07/31/5-ingredient-8-minute-skillet-green-beans/,Broiled Green Beans ,https://www.simplyrecipes.com/broiled-green-beans-recipe-11717884
Zucchini,Baked Zucchini ,https://www.recipetineats.com/baked-zucchini/,Sauteed Zucchini ,https://www.inspiredtaste.net/38045/sauteed-zucchini-recipe/,Zucchini Noodles with Pesto,https://www.wellplated.com/sauteed-zucchini/
Carrot,Carrot Ginger Soup,https://cookieandkate.com/healthy-carrot-ginger-soup/,Carrot Salad ,https://www.onceuponachef.com/recipes/french-grated-carrot-salad.html,Honey Glazed Carrots,https://www.dinneratthezoo.com/glazed-carrots/
Potato,Best Potatoes You'll Ever Taste ,https://www.allrecipes.com/recipe/27252/best-potatoes-youll-ever-taste/,Boiled Baby Potatoes with Olive Oil and Herbs ,https://www.food.com/recipe/herbed-baby-potatoes-with-olive-oil-151762,Spiced Roasted Potatoes ,https://www.simplyrecipes.com/spiced-roasted-potatoes-recipe-11716522
Strawberry,Summer Strawberry Cake ,https://www.onceuponachef.com/recipes/summer-strawberry-cake.html,Fresh Strawberry Crisp ,https://belleofthekitchen.com/fresh-strawberry-crisp-recipe/,Healthy Strawberry Oatmeal Bars ,https://www.wellplated.com/strawberry-oatmeal-bars/
Blueberry,Easy Blueberry Crumble ,https://www.inspiredtaste.net/46488/easy-blueberry-crumble/,Easy Blueberry Cobbler ,https://www.allrecipes.com/recipe/223253/easy-blueberry-cobbler/,Easy Blueberry Muffins ,https://www.inspiredtaste.net/18982/our-favorite-easy-blueberry-muffin-recipe/
Pepper,15-Minute Sauteed Bell Peppers ,https://thenaturalnurturer.com/15-minute-sauteed-bell-peppers/,Marinated Bell Peppers ,https://www.themediterraneandish.com/roasted-bell-peppers/,Stuffed Bell Peppers ,https://www.budgetbytes.com/stuffed-bell-peppers/
Apple,Collection of Easy Apple Desserts ,https://www.simplyrecipes.com/easy-apple-dessert-recipes-8721800,Easy Apple Cobbler ,https://www.acozykitchen.com/easy-apple-cobbler,Apple Souffle with Hazelnuts ,https://www.theguardian.com/food/2025/apr/25/apple-souffle-hazelnuts-recipe-ravneet-gill
Orange,Orange Poppy Seed Muffins,https://sallysbakingaddiction.com/glazed-orange-muffins/,Simple Orange Glaze,https://www.allrecipes.com/recipe/181525/simple-orange-glaze/,Orange Almond Cake,https://preppykitchen.com/orange-cake/
Okra,Easy Baked Okra ,https://cooktoria.com/easy-baked-okra/,Stewed Okra and Tomatoes ,healthyrecipesblogs,Garlic Roasted Okra ,https://eatsomethingvegan.com/garlic-roasted-okra/
Cucumber,Best Cucumber Salad Recipe ,https://cookieandkate.com/best-cucumber-salad-recipe/,Pickles,https://cookieandkate.com/best-pickles-recipe/,6 Ingredient Vegan Tzatziki,https://minimalistbaker.com/6-ingredient-vegan-tzatziki/
Spinach,Creamed Spinach ,https://cookieandkate.com/creamed-spinach-recipe/,Palak Curry,https://www.indianhealthyrecipes.com/spinach-curry/,Sauteed Spinach ,https://www.loveandlemons.com/sauteed-spinach/
Peas,Cream of Peas ,https://www.savorywithsoul.com/cream-of-peas/,How I cook Frozen Peas ,https://www.recipetineats.com/how-i-cook-frozen-peas-recipe/,Fresh Pea Soup,https://www.savorywithsoul.com/cream-of-peas/
Kale,How to Cook Kale ,https://www.thekitchn.com/how-to-cook-kale-261979,Easy Garlic Kale ,https://www.allrecipes.com/recipe/241074/easy-garlic-kale/,Spicy Tuna Quinoa Bowl with Sesame Kale,https://www.kalememaybe.com/kalememaybe/2016/8/22/spicy-tuna-quinoa-bowl-with-sesame-kale?rq=tuna
Basil,Pesto,https://www.loveandlemons.com/pesto-recipe/,Collection of Fresh Basil Recipes ,https://www.simplyrecipes.com/recipes-with-fresh-basil-7555590,Pasta Salad Recipe with Basil Vinaigrette ,https://vikalinka.com/pasta-salad-with-basil-vinaigrette/
Watermelon,Watermelon Mint Salad,https://www.loveandlemons.com/watermelon-salad/,Watermelon Cucumber Feta Salad ,https://reciperunner.com/watermelon-salad-cucumber-feta/,Watermelon-Serrano Salsa,https://www.allrecipes.com/watermelon-serrano-salsa-recipe-8601115
Cantaloupe,Cantaloupe and Prosciutto Salad,https://www.loveandlemons.com/cantaloupe-salad/,Cantaloupe Slushie ,https://frommybowl.com/cantaloupe-slushie-recipe/,Cantaloupe with Sugar Snap Peas and Ricotta Salata ,https://www.bonappetit.com/recipe/cantaloupe-with-sugar-snap-peas-and-ricotta-salata
Broccoli,Oven Roasted Broccoli,https://lifemadesimplebakes.com/oven-roasted-broccoli/,Sauteed Broccoli ,https://www.loveandlemons.com/sauteed-broccoli/,Crispy Cheesy Roasted Broccoli,https://www.thecookierookie.com/crispy-cheesy-roasted-broccoli-recipe/
Cauliflower,Roasted Cauliflower ,https://cookieandkate.com/roasted-cauliflower-recipe/,Cauliflower Rice,https://www.simplyrecipes.com/recipes/cauliflower_rice/,Cauliflower Caponata ,https://www.101cookbooks.com/cauliflower-caponata/
Sweet Corn,Creamed Corn ,https://www.crunchycreamysweet.com/creamed-corn/,Summer Sweet Corn Saute ,https://iowagirleats.com/summer-sweet-corn-saute/,Grilled Street Corn ,https://www.ambitiouskitchen.com/grilled-street-corn/
Swiss Chard,Swiss Chard Wraps with Hummus ,https://minimalistbaker.com/rainbow-chard-hummus-wraps/,Swiss Chard and White Bean Stew ,https://www.feastingathome.com/ribollita-recipe/,Sauteed Swiss Chard ,https://www.feastingathome.com/sauteed-swiss-chard/
Arugula,29 Arugula Recipes ,https://www.bonappetit.com/recipes/slideshow/get-spicy-19-awesome-ways-eat-arugula?srsltid=AfmBOooBm6MCPqIj8UOZviA8JpF4uyWFFFblytp04iWzo7VqK-hQjUYB,Creamy Arugula and White Bean Soup,https://foodrevolution.org/recipes/creamy-arugula-and-white-bean-soup/,Arugula Salad with Grapes and Black Pepper Vinaigrette ,https://pinchofyum.com/arugula-salad-with-grapes-and-black-pepper-vinaigrette
Turnip,Simple Roasted Turnips ,https://www.spendwithpennies.com/simple-roasted-turnips/,Buttery Stovetop Turnip ,https://www.lordbyronskitchen.com/buttery-stovetop-turnip/,Southern Turnip Supreme ,https://www.allrecipes.com/recipe/199134/southern-turnip-supreme/
Collard Greens,Quick Collard Greens ,https://cookieandkate.com/quick-collard-greens-recipe/,Southern Style Collard Greens ,https://www.simplyrecipes.com/recipes/southern_style_collard_greens/,How to Cook Collard Greens ,https://www.thekitchn.com/how-to-cook-collard-greens-234746
